,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011
,ID,"C4F60","C4F60","C4F60","C5410","C5410","C5410","C5BD0","C5BD0","C5BD0","C8880","C8880","C8880","C8C10","C8C10","C8C10","C53A0","C53A0","C53A0","C8C20","C8C20","C8C20","C8C30","C8C30","C8C30","C8C40","C8C40","C8C40","C8C50","C8C50","C8C50","C8C60","C8C60","C8C60","C8C70","C8C70","C8C70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
99,0.825000,-3640.305176,201.161209,2685.026611,1732.787720,167.263336,265.473114,1103.174316,60.635567,1283.161865,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.833000,-3640.316650,201.228943,2685.084473,1732.796509,167.201233,265.457062,1103.205566,60.687294,1283.096680,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0.841000,-3640.331055,201.212479,2685.055664,1732.801758,167.202255,265.461395,1103.191650,60.636806,1283.107544,,,,-5666.654785,3675.964355,-3700.359375,,,,,,,,,,,,,,,,,,,,,
102,0.850000,-3640.315430,201.130569,2685.033203,1732.798096,167.204636,265.483612,1103.227661,60.646294,1283.111816,,,,-5666.645996,3675.960449,-3700.354004,,,,,,,,,,,,,,,,,,,,,
103,0.858000,-3640.333984,201.167755,2685.033691,1732.786621,167.220032,265.470245,1103.192993,60.660828,1283.117432,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.866000,-3640.266602,201.102203,2685.008301,,,,1103.183472,60.621296,1283.121460,,,,-5666.643555,3675.949463,-3700.353760,,,,,,,,,,,,,,,,,,,,,
105,0.875000,-3640.282227,201.129013,2685.043457,1732.819214,167.211578,265.480774,1103.230347,60.652969,1283.134277,1902.665039,-454.620392,110.270920,-5666.600586,3675.922852,-3700.333008,,,,,,,,,,,,,,,,,,,,,
106,0.883000,-3640.341064,201.167816,2685.029053,,,,1103.191162,60.636833,1283.142578,,,,-5666.636719,3675.946289,-3700.352051,,,,,,,,,,,,,,,,,,,,,
107,0.891000,-3640.290771,201.188889,2685.008301,,,,1103.201416,60.652725,1283.104858,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.900000,-3640.315918,201.178558,2685.031250,,,,1103.138550,60.588360,1283.121826,,,,-5666.627930,3675.928955,-3700.348633,,,,,,,,,,,,,,,,,,,,,
109,0.908000,-3640.325439,201.125000,2685.019775,,,,1103.223145,60.668468,1283.085815,,,,-5666.646973,3675.948730,-3700.351562,,,,,,,,,,,,,,,,,,,,,
110,0.916000,-3640.314209,201.099579,2685.024902,,,,1103.172607,60.617298,1283.101685,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.925000,-3640.321289,201.150238,2685.056641,1732.832520,167.257675,265.474396,1103.213989,60.678719,1283.113770,,,,-5666.649902,3675.949951,-3700.346191,,,,,,,,,,,,,,,,,,,,,
