Format Version,1.23,Take Name,Take 2022-05-02 03.27.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-02 03.27.19.810 PM,Capture Start Frame,231020,Total Frames in Take,1505,Total Exported Frames,1505,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Atlas:Marker1,Atlas:Marker1,Atlas:Marker1,Atlas:Marker2,Atlas:Marker2,Atlas:Marker2,Atlas:Marker3,Atlas:Marker3,Atlas:Marker3,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007
,ID,"C66A0","C66A0","C66A0","C6D90","C6D90","C6D90","C6DB0","C6DB0","C6DB0","C5E80","C5E80","C5E80","C7620","C7620","C7620","C7630","C7630","C7630","C7640","C7640","C7640"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,0.316000,-7438.337402,2352.773682,-2159.025879,-7329.336914,2353.040527,-2051.214111,-7348.583008,2349.182373,-2178.825439,-3639.427002,199.071915,2679.290039,,,,,,,,,
39,0.325000,-7437.343750,2354.297607,-2159.172119,-7327.322754,2353.002441,-2050.422119,-7346.709961,2349.197754,-2178.140137,-3639.460938,199.219940,2679.322266,,,,,,,,,
40,0.333000,-7434.545898,2352.678955,-2157.716309,-7325.812988,2353.147949,-2050.009766,-7345.017578,2349.222168,-2177.563477,-3639.426270,199.230179,2679.345459,,,,,,,,,
41,0.341000,-7432.751465,2352.569336,-2157.115234,-7324.093262,2353.218018,-2049.336182,-7343.317871,2349.279053,-2176.960449,-3639.434570,199.165787,2679.333740,,,,,,,,,
42,0.350000,-7431.041504,2352.844238,-2156.438721,-7322.135254,2353.194092,-2048.556641,-7341.503906,2349.371826,-2176.344482,-3639.425049,199.130600,2679.303223,,,,,,,,,
43,0.358000,-7429.679199,2353.206787,-2156.158447,-7320.633789,2353.321533,-2048.149902,-7339.821289,2349.378174,-2175.698975,-3639.409424,199.186722,2679.336182,,,,,,,,,
44,0.366000,-7427.496094,2352.512939,-2155.194336,-7318.852051,2353.297119,-2047.376099,-7338.066895,2349.325195,-2175.089111,-3639.435791,199.242538,2679.350098,,,,,,,,,
45,0.375000,-7425.876465,2352.726074,-2154.655518,-7317.026367,2353.377197,-2046.715698,-7336.225586,2349.380371,-2174.374023,-3639.417725,199.163376,2679.338135,,,,,,,,,
46,0.383000,-7425.926270,2355.140625,-2153.646484,-7315.551270,2353.479004,-2046.271118,-7334.659180,2349.456543,-2173.847900,-3639.389648,199.091110,2679.326172,,,,,,,,,
47,0.391000,-7422.781738,2352.853516,-2153.515137,-7313.836914,2353.461426,-2045.568237,-7333.026855,2349.449951,-2173.334229,-3639.425781,199.123856,2679.371826,,,,,,,,,
48,0.400000,-7420.970703,2352.836670,-2152.990234,-7312.192383,2353.629883,-2045.104980,-7331.227051,2349.493896,-2172.632324,-3639.393066,199.191742,2679.306152,,,,,,,,,
49,0.408000,-7420.908691,2355.084229,-2151.869873,-7310.567383,2353.604004,-2044.410889,-7329.696289,2349.540771,-2172.106934,-3639.402344,199.197418,2679.346436,,,,,,,,,
50,0.416000,-7417.687988,2352.641602,-2151.566895,-7308.944824,2353.619385,-2043.761719,-7328.111816,2349.578613,-2171.562744,-3639.410400,199.134811,2679.316162,,,,,,,,,
51,0.425000,-7416.240723,2353.103516,-2151.359619,-7307.271973,2353.732910,-2043.221924,-7326.344238,2349.637695,-2170.905029,-3639.440674,199.169754,2679.373779,,,,,,,,,
52,0.433000,-7415.141602,2353.619873,-2151.234863,-7305.696289,2353.649414,-2042.526978,-7324.866211,2349.598145,-2170.350098,-3639.425781,199.192123,2679.356934,,,,,,,,,
53,0.441000,-7413.040039,2352.985107,-2150.187500,-7304.250000,2353.799316,-2042.075195,-7323.343750,2349.664307,-2169.809570,-3639.447266,199.214722,2679.335449,,,,,,,,,
54,0.450000,-7410.846680,2352.195801,-2149.074463,-7302.568359,2353.838867,-2041.387085,-7321.681641,2349.784424,-2169.227539,-3639.409424,199.125351,2679.346924,,,,,,,,,
