Format Version,1.23,Take Name,Take 2022-05-04 11.31.14 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-04 11.31.14.559 AM,Capture Start Frame,222574,Total Frames in Take,6573,Total Exported Frames,6573,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker1,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker2,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker3,SensorHead:Marker4,SensorHead:Marker4,SensorHead:Marker4,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021
,ID,"9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E8CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E7CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E6CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","9D0D78E5CBC711ECB1695D6E8D90CDB9","2948CDDB6ACBC311EC","2948CDDB6ACBC311EC","2948CDDB6ACBC311EC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,0.316000,1858.623291,987.040405,-730.196228,1857.568359,983.456848,-814.559082,1795.822632,978.844482,-840.151245,1747.937134,981.679565,-725.419739,,,
39,0.325000,1858.617554,987.022583,-730.198547,1857.579468,983.435791,-814.527710,1795.839600,978.840088,-840.157532,1747.932495,981.686279,-725.417908,,,
40,0.333000,1858.610107,987.025085,-730.186218,1857.580933,983.428528,-814.521851,1795.834595,978.880127,-840.183777,1747.953491,981.690552,-725.430725,,,
41,0.341000,1858.610107,987.003784,-730.181519,1857.571899,983.422424,-814.531189,1795.827393,978.824707,-840.181641,1747.952759,981.679871,-725.480225,,,
42,0.350000,1858.608887,986.999390,-730.187561,1857.564209,983.420044,-814.567444,1795.828125,978.789551,-840.118835,1747.919556,981.689209,-725.466125,,,
43,0.358000,1858.603271,986.991943,-730.204773,1857.564453,983.405640,-814.558655,1795.827148,978.808777,-840.183838,1747.932739,981.676270,-725.464844,,,
44,0.366000,1858.601807,986.984680,-730.219482,1857.553467,983.417480,-814.560486,1795.823730,978.825806,-840.155945,1747.936523,981.676575,-725.456299,,,
45,0.375000,1858.610229,987.002075,-730.230103,1857.562988,983.421265,-814.547058,1795.829346,978.816711,-840.179932,1747.938965,981.684021,-725.463989,,,
46,0.383000,1858.611450,987.014343,-730.240540,1857.557983,983.428955,-814.544189,1795.824585,978.840088,-840.187134,1747.935059,981.690735,-725.461609,,,
47,0.391000,1858.608643,987.038208,-730.244629,1857.554932,983.437195,-814.542908,1795.828613,978.864624,-840.149902,1747.933228,981.680115,-725.439148,,,
48,0.400000,1858.607178,987.056335,-730.246887,1857.568848,983.436829,-814.514648,1795.834839,978.873962,-840.151489,1747.920288,981.709656,-725.440857,,,
