Format Version,1.23,Take Name,Take 2022-04-30 06.18.20 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.18.21.094 PM,Capture Start Frame,548330,Total Frames in Take,6289,Total Exported Frames,6289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
18,0.150000,-948.619995,1011.170654,1122.226929,-900.475037,1006.380310,1191.491699,-834.509521,1001.431213,1180.106812,-858.228516,1005.625977,1058.581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158000,-948.636108,1011.169922,1122.206055,-900.463257,1006.357056,1191.502319,-834.484619,1001.419800,1180.110474,-858.205383,1005.614746,1058.605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166000,-948.627014,1011.161682,1122.217407,-900.482239,1006.389648,1191.504761,-834.508423,1001.426575,1180.106323,-858.201355,1005.617615,1058.605713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-948.618713,1011.179565,1122.220337,-900.465027,1006.396179,1191.516724,-834.532471,1001.426208,1180.103149,-858.191467,1005.615112,1058.593628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183000,-948.648499,1011.148682,1122.197021,-900.488159,1006.389160,1191.499512,-834.518738,1001.428589,1180.092773,-858.205750,1005.629211,1058.594971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191000,-948.639526,1011.180908,1122.195923,-900.486145,1006.418213,1191.501587,-834.511230,1001.437927,1180.089600,-858.221375,1005.640381,1058.593384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-948.664795,1011.154053,1122.191772,-900.505493,1006.445618,1191.495728,-834.515015,1001.450317,1180.086060,-858.234863,1005.635254,1058.564087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208000,-948.664490,1011.178955,1122.191040,-900.496826,1006.439697,1191.489746,-834.510986,1001.466492,1180.073120,-858.244568,1005.631897,1058.570557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216000,-948.647278,1011.180054,1122.196655,-900.492676,1006.424194,1191.490967,-834.516602,1001.470093,1180.077759,-858.242554,1005.631592,1058.556396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-948.661072,1011.187073,1122.192993,-900.469971,1006.418579,1191.497925,-834.528442,1001.467346,1180.078613,-858.236816,1005.631897,1058.564575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233000,-948.637695,1011.158447,1122.200317,-900.485962,1006.401062,1191.487549,-834.524353,1001.453613,1180.079956,-858.231873,1005.627991,1058.565063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241000,-948.643738,1011.161682,1122.199463,-900.456421,1006.394287,1191.501343,-834.510498,1001.436096,1180.086792,-858.228760,1005.626770,1058.565674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-948.634277,1011.169556,1122.209473,-900.470276,1006.375061,1191.493164,-834.494446,1001.432312,1180.104858,-858.221436,1005.619263,1058.591431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258000,-948.631470,1011.161316,1122.223633,-900.458130,1006.384705,1191.507812,-834.520081,1001.422974,1180.101929,-858.226990,1005.621765,1058.593384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266000,-948.622070,1011.145142,1122.218750,-900.478882,1006.358765,1191.493896,-834.507996,1001.412659,1180.113770,-858.207886,1005.610474,1058.606445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-948.638794,1011.155823,1122.200562,-900.457947,1006.375305,1191.504272,-834.497742,1001.412537,1180.104126,-858.226746,1005.611328,1058.596680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283000,-948.619385,1011.137634,1122.211182,-900.467224,1006.391663,1191.500366,-834.503052,1001.441345,1180.104980,-858.215576,1005.625977,1058.587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291000,-948.647583,1011.178284,1122.201904,-900.460571,1006.405579,1191.501465,-834.510559,1001.437317,1180.089478,-858.219543,1005.626709,1058.571655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-948.658020,1011.169189,1122.189331,-900.497253,1006.418579,1191.493652,-834.518494,1001.476746,1180.084106,-858.233459,1005.627747,1058.574585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308000,-948.646667,1011.162048,1122.188354,-900.498230,1006.413818,1191.489258,-834.525513,1001.468994,1180.071167,-858.242798,1005.633728,1058.569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316000,-948.649536,1011.177307,1122.194702,-900.505676,1006.417847,1191.484863,-834.538513,1001.488464,1180.075317,-858.226868,1005.644775,1058.572754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
