Format Version,1.23,Take Name,Take 2022-04-30 06.08.04 PM,Take Notes,l515_ouster_mocap_1.bag
,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.08.05.035 PM,Capture Start Frame,474404,Total Frames in Take,6418,Total Exported Frames,6418,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133000,-1843.607544,1017.111206,723.169861,-1798.967773,1010.990051,793.649902,-1732.093750,1006.191833,786.583923,-1748.281738,1010.676270,663.491882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141000,-1843.601685,1017.124146,723.175537,-1798.983765,1010.982971,793.664307,-1732.109985,1006.214355,786.597656,-1748.262451,1010.671997,663.474304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-1843.603516,1017.107727,723.172424,-1798.975464,1010.972717,793.640808,-1732.112427,1006.221069,786.618408,-1748.266235,1010.656738,663.430115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158000,-1843.607666,1017.111328,723.181824,-1798.974121,1010.987305,793.639343,-1732.108154,1006.208435,786.604736,-1748.274414,1010.667542,663.453552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166000,-1843.596558,1017.107605,723.180725,-1798.948853,1010.952698,793.603638,-1732.111938,1006.191040,786.593201,-1748.267090,1010.658142,663.502319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-1843.588501,1017.085815,723.170776,-1798.972900,1010.933899,793.636719,-1732.093750,1006.154419,786.583191,-1748.265747,1010.633118,663.488525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183000,-1843.600098,1017.081726,723.198242,-1798.952148,1010.918640,793.635437,-1732.116943,1006.135803,786.629517,-1748.258423,1010.638367,663.514893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191000,-1843.586060,1017.091125,723.204102,-1798.975708,1010.928040,793.650818,-1732.120850,1006.130798,786.612610,-1748.265625,1010.632996,663.512512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-1843.591919,1017.074463,723.216492,-1798.951172,1010.917419,793.623962,-1732.131348,1006.142517,786.637573,-1748.252930,1010.638123,663.491028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208000,-1843.591797,1017.086243,723.206848,-1798.949707,1010.907898,793.634827,-1732.098877,1006.155701,786.620605,-1748.252441,1010.656128,663.493652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216000,-1843.592651,1017.085571,723.181396,-1798.967773,1010.942932,793.630493,-1732.110474,1006.166321,786.613037,-1748.256104,1010.662537,663.495117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-1843.584839,1017.125977,723.158081,-1798.971558,1010.973328,793.616516,-1732.140503,1006.186707,786.635742,-1748.284424,1010.655029,663.493347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233000,-1843.596069,1017.108337,723.153992,-1798.981201,1010.978210,793.651794,-1732.132446,1006.213196,786.608704,-1748.288574,1010.660034,663.468750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241000,-1843.599731,1017.093628,723.144897,-1798.967163,1010.978333,793.655579,-1732.092041,1006.212585,786.570251,-1748.275146,1010.665039,663.462891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-1843.603638,1017.098999,723.146301,-1798.976562,1010.967957,793.630249,-1732.113281,1006.212219,786.596313,-1748.289917,1010.658508,663.486633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258000,-1843.595337,1017.096863,723.160950,-1798.952881,1010.976685,793.618408,-1732.131592,1006.190674,786.585693,-1748.291260,1010.651917,663.493958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266000,-1843.593872,1017.090942,723.179871,-1798.964355,1010.938904,793.643372,-1732.143799,1006.173462,786.619385,-1748.281250,1010.635620,663.476868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-1843.582764,1017.082336,723.180908,-1798.969849,1010.923035,793.640381,-1732.122437,1006.151306,786.622620,-1748.247314,1010.630127,663.506104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283000,-1843.588013,1017.082825,723.206360,-1798.941406,1010.940918,793.642822,-1732.128906,1006.134888,786.633972,-1748.268677,1010.636902,663.517395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291000,-1843.586304,1017.083984,723.199341,-1798.970703,1010.928040,793.660645,-1732.111816,1006.118896,786.626709,-1748.242676,1010.619385,663.511597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-1843.594971,1017.076477,723.215698,-1798.960571,1010.937439,793.646851,-1732.108887,1006.151550,786.596008,-1748.258423,1010.633972,663.547546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308000,-1843.580933,1017.080200,723.201477,-1798.949707,1010.948669,793.633362,-1732.117676,1006.170044,786.597961,-1748.257690,1010.640991,663.506592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316000,-1843.595947,1017.083435,723.184326,-1798.949219,1010.943787,793.599365,-1732.128662,1006.165649,786.613525,-1748.276123,1010.647522,663.487366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-1843.608276,1017.106323,723.196045,-1798.996948,1010.957581,793.641846,-1732.106323,1006.195068,786.568542,-1748.282959,1010.644287,663.467407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333000,-1843.587891,1017.095337,723.135864,-1798.986328,1010.993835,793.638245,-1732.115112,1006.206726,786.601440,-1748.296997,1010.665771,663.476807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341000,-1843.605103,1017.097229,723.157166,-1798.954346,1010.977966,793.633606,-1732.091309,1006.196838,786.577881,-1748.272583,1010.662903,663.452271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-1843.587769,1017.083862,723.160461,-1798.993652,1010.984192,793.657532,-1732.129395,1006.210693,786.608765,-1748.258789,1010.668030,663.465942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358000,-1843.601074,1017.112610,723.185364,-1798.980957,1010.966187,793.630432,-1732.112793,1006.192322,786.578857,-1748.263672,1010.679016,663.480774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366000,-1843.587036,1017.079468,723.197327,-1798.939331,1010.937195,793.616272,-1732.123657,1006.188843,786.612854,-1748.269043,1010.627502,663.509399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-1843.583130,1017.080200,723.191833,-1798.987305,1010.935913,793.642090,-1732.096313,1006.154907,786.626404,-1748.242676,1010.637268,663.478149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383000,-1843.576660,1017.058105,723.184631,-1798.967407,1010.916809,793.629944,-1732.125488,1006.140381,786.634521,-1748.264160,1010.634399,663.503235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391000,-1843.590088,1017.080933,723.198914,-1798.966431,1010.916565,793.642639,-1732.141113,1006.126892,786.660889,-1748.246704,1010.639893,663.519714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-1843.594971,1017.065308,723.217163,-1798.941650,1010.915283,793.624634,-1732.119995,1006.131531,786.644409,-1748.261719,1010.638977,663.506714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408000,-1843.589233,1017.092590,723.168213,-1798.939209,1010.938660,793.628479,-1732.097290,1006.158447,786.620361,-1748.251465,1010.632263,663.535522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.416000,-1843.593140,1017.087463,723.186279,-1798.961548,1010.943298,793.629150,-1732.095703,1006.188965,786.595337,-1748.276489,1010.635254,663.490295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.425000,-1843.591675,1017.103821,723.175720,-1798.975342,1010.952026,793.646973,-1732.105835,1006.189575,786.614624,-1748.284912,1010.646484,663.480408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.433000,-1843.599365,1017.108459,723.160583,-1798.996216,1010.984314,793.640198,-1732.104858,1006.210083,786.579529,-1748.273926,1010.683655,663.471008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.441000,-1843.605957,1017.103699,723.164062,-1798.996948,1010.962585,793.624634,-1732.122070,1006.225708,786.590088,-1748.263550,1010.686401,663.460693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.450000,-1843.590454,1017.110718,723.145203,-1798.975708,1010.957092,793.624329,-1732.110474,1006.203308,786.608154,-1748.287354,1010.647522,663.486694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.458000,-1843.596924,1017.110107,723.164673,-1798.961060,1010.971313,793.607910,-1732.113281,1006.195190,786.611389,-1748.298706,1010.651917,663.507507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.466000,-1843.593262,1017.090820,723.177124,-1798.945190,1010.939331,793.633057,-1732.105347,1006.170776,786.603760,-1748.279663,1010.635864,663.524658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.475000,-1843.593872,1017.076233,723.188965,-1798.943726,1010.930542,793.636230,-1732.104858,1006.143799,786.627441,-1748.265747,1010.638855,663.504272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.483000,-1843.580688,1017.074463,723.201233,-1798.954590,1010.926575,793.663391,-1732.115723,1006.139771,786.644836,-1748.266724,1010.624146,663.489014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.491000,-1843.597046,1017.077942,723.235291,-1798.966797,1010.932312,793.648254,-1732.125732,1006.145142,786.630981,-1748.280273,1010.632141,663.501587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.500000,-1843.578125,1017.074219,723.212708,-1798.946899,1010.927429,793.650696,-1732.133057,1006.160950,786.613770,-1748.262329,1010.630249,663.511902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.508000,-1843.575195,1017.071838,723.176575,-1798.957886,1010.933411,793.631775,-1732.119995,1006.141785,786.620911,-1748.254395,1010.635864,663.512024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.516000,-1843.592651,1017.078186,723.196045,-1798.968018,1010.935303,793.636108,-1732.108398,1006.173706,786.568909,-1748.261963,1010.645630,663.500854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.525000,-1843.592773,1017.098206,723.175232,-1798.950439,1010.992981,793.624573,-1732.102295,1006.191467,786.589172,-1748.270142,1010.657776,663.488525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.533000,-1843.595703,1017.108459,723.162292,-1798.980469,1010.948425,793.647522,-1732.098145,1006.214050,786.586182,-1748.285400,1010.667542,663.466248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.541000,-1843.601440,1017.113831,723.177795,-1798.970581,1010.953064,793.618469,-1732.104248,1006.220337,786.590515,-1748.278687,1010.677246,663.473450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
